epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2917.39,1.42083,0.85657,1.09176,0.77596,0.63173,0.71896,0.37795,1.48418,0.86929,1.07564,0.004456,0.004456,0.004456
58,2969.65,1.42821,0.86871,1.09269,0.72714,0.63404,0.70602,0.37331,1.48774,0.87752,1.07543,0.004357,0.004357,0.004357
59,3022.08,1.42348,0.86002,1.09198,0.78643,0.60577,0.70804,0.37441,1.48552,0.87405,1.07893,0.004258,0.004258,0.004258
60,3073.97,1.41385,0.85151,1.08464,0.75975,0.62649,0.71154,0.38154,1.46835,0.86367,1.07119,0.004159,0.004159,0.004159
61,3125.37,1.41326,0.85252,1.0843,0.75659,0.64421,0.71807,0.38008,1.47748,0.85978,1.07357,0.00406,0.00406,0.00406
62,3176.79,1.41127,0.84709,1.08269,0.77523,0.65274,0.72732,0.38571,1.47669,0.85638,1.07307,0.003961,0.003961,0.003961
63,3228.24,1.39738,0.84556,1.07917,0.77476,0.64837,0.7311,0.38679,1.47736,0.84657,1.07008,0.003862,0.003862,0.003862
64,3279.69,1.40425,0.84005,1.08024,0.76778,0.63759,0.72233,0.38554,1.46527,0.84663,1.06746,0.003763,0.003763,0.003763
65,3331.29,1.40061,0.83884,1.07842,0.78532,0.64384,0.72865,0.38883,1.45732,0.84545,1.06489,0.003664,0.003664,0.003664
66,3382.84,1.39604,0.83253,1.07662,0.80287,0.63148,0.72532,0.38823,1.45834,0.84292,1.06731,0.003565,0.003565,0.003565
67,3434.36,1.3923,0.83259,1.07407,0.79798,0.61732,0.71354,0.38027,1.47822,0.84784,1.06949,0.003466,0.003466,0.003466
68,3486.41,1.39299,0.83312,1.07597,0.75986,0.64812,0.72563,0.38901,1.46399,0.83475,1.0659,0.003367,0.003367,0.003367
69,3539.36,1.39248,0.83266,1.07587,0.77338,0.63156,0.72012,0.38517,1.46218,0.83565,1.06257,0.003268,0.003268,0.003268
70,3592.26,1.38716,0.82549,1.07513,0.7866,0.64372,0.73179,0.3926,1.45597,0.82893,1.0604,0.003169,0.003169,0.003169
71,3645.05,1.38888,0.82374,1.07457,0.79162,0.63934,0.73177,0.39211,1.46165,0.83801,1.06287,0.00307,0.00307,0.00307
72,3697.86,1.38012,0.81567,1.06908,0.75038,0.6442,0.72818,0.39152,1.45711,0.8386,1.06184,0.002971,0.002971,0.002971
73,3750.43,1.37733,0.81528,1.06702,0.77573,0.63306,0.72379,0.38952,1.4565,0.82934,1.06057,0.002872,0.002872,0.002872
74,3803.02,1.37725,0.81602,1.06593,0.80072,0.64309,0.73112,0.39406,1.45104,0.82812,1.05876,0.002773,0.002773,0.002773
75,3855.67,1.36699,0.80511,1.06546,0.7961,0.62967,0.72604,0.39227,1.45471,0.82531,1.05889,0.002674,0.002674,0.002674
76,3908.09,1.3693,0.80274,1.06409,0.79457,0.64876,0.73125,0.39114,1.45537,0.82417,1.05946,0.002575,0.002575,0.002575
77,3959.77,1.36615,0.80301,1.06413,0.78468,0.65113,0.73051,0.39347,1.45269,0.82504,1.05948,0.002476,0.002476,0.002476
78,4011.3,1.36601,0.79967,1.06127,0.77603,0.65614,0.73108,0.3944,1.45131,0.8229,1.05809,0.002377,0.002377,0.002377
79,4062.85,1.3674,0.80341,1.06427,0.79821,0.65903,0.73699,0.39669,1.4485,0.81975,1.05818,0.002278,0.002278,0.002278
80,4114.56,1.36008,0.79845,1.06212,0.76358,0.67133,0.73482,0.39611,1.44949,0.82241,1.05794,0.002179,0.002179,0.002179
81,4165.82,1.35028,0.78147,1.05308,0.74973,0.64805,0.72381,0.39192,1.45169,0.82687,1.05698,0.00208,0.00208,0.00208
82,4217.35,1.35146,0.78524,1.05733,0.76378,0.65734,0.73448,0.39699,1.44971,0.81644,1.05691,0.001981,0.001981,0.001981
83,4268.7,1.34913,0.78465,1.05605,0.77792,0.65887,0.73619,0.39748,1.45156,0.81592,1.05802,0.001882,0.001882,0.001882
84,4320.26,1.34864,0.78439,1.05582,0.79761,0.64597,0.73747,0.39807,1.44707,0.8156,1.05559,0.001783,0.001783,0.001783
85,4371.61,1.34268,0.77621,1.05319,0.80479,0.65827,0.74263,0.39989,1.44987,0.81523,1.05643,0.001684,0.001684,0.001684
86,4422.98,1.34226,0.7775,1.05186,0.785,0.66024,0.74249,0.40209,1.44863,0.81688,1.0558,0.001585,0.001585,0.001585
87,4474.73,1.34422,0.77569,1.05264,0.78584,0.65748,0.74269,0.40062,1.45086,0.81479,1.05604,0.001486,0.001486,0.001486
88,4527.27,1.33646,0.77073,1.04916,0.78191,0.66911,0.74724,0.40296,1.44761,0.81031,1.05431,0.001387,0.001387,0.001387
89,4579.51,1.32906,0.7623,1.04824,0.78977,0.66775,0.7474,0.40446,1.4448,0.8075,1.05266,0.001288,0.001288,0.001288
90,4630.76,1.3276,0.76062,1.04475,0.77126,0.67803,0.74577,0.40304,1.44309,0.80818,1.05214,0.001189,0.001189,0.001189
91,4695.39,1.32651,0.74172,1.05122,0.77295,0.6734,0.74048,0.40231,1.43994,0.80746,1.05151,0.00109,0.00109,0.00109
92,4745.74,1.32183,0.73821,1.04737,0.78874,0.66318,0.74312,0.40408,1.43783,0.80757,1.05099,0.000991,0.000991,0.000991
93,4796.91,1.31488,0.72921,1.04286,0.78189,0.66017,0.73998,0.404,1.43961,0.8108,1.0515,0.000892,0.000892,0.000892
94,4847.68,1.31211,0.72248,1.04455,0.77298,0.67,0.7431,0.40392,1.44181,0.81043,1.05234,0.000793,0.000793,0.000793
95,4898.13,1.305,0.71806,1.04128,0.77833,0.66902,0.74345,0.40489,1.44064,0.8102,1.05187,0.000694,0.000694,0.000694
96,4948.59,1.30466,0.71594,1.04295,0.77719,0.66885,0.7437,0.40359,1.44068,0.81025,1.05165,0.000595,0.000595,0.000595
97,4999.01,1.29878,0.71046,1.03768,0.78015,0.67233,0.74588,0.40502,1.43978,0.80878,1.0511,0.000496,0.000496,0.000496
98,5052.07,1.29518,0.70804,1.03611,0.78305,0.67124,0.74564,0.40587,1.44024,0.80808,1.05077,0.000397,0.000397,0.000397
99,5105.22,1.29365,0.70495,1.03536,0.78757,0.66899,0.74621,0.40694,1.44037,0.80783,1.05098,0.000298,0.000298,0.000298
100,5158.41,1.28818,0.69882,1.0306,0.78445,0.67218,0.74675,0.40669,1.44131,0.80724,1.05128,0.000199,0.000199,0.000199
